chain_id,tail_number,flight1_Tail_Number,flight1_Flight_Duration_Minutes,flight1_Dest,flight1_Schedule_DateTime,flight1_Carrier_Airline,flight1_Origin,flight1_Flight_Delay,flight1_Orientation,flight2_Tail_Number,flight2_Flight_Duration_Minutes,flight2_Dest,flight2_Schedule_DateTime,flight2_Carrier_Airline,flight2_Origin,flight2_Flight_Delay,flight2_Orientation,flight3_Tail_Number,flight3_Flight_Duration_Minutes,flight3_Dest,flight3_Schedule_DateTime,flight3_Carrier_Airline,flight3_Origin,flight3_Flight_Delay,flight3_Orientation,ground_time_1,ground_time_2,flight2_PFD,flight2_FTD,flight3_PFD,flight3_FTD,delay_label,delay_category
29,N503AE,N503AE,124.0,DCA,2022-03-20 14:45:00,OH,STL,-2.0,East-West,N503AE,74.0,DCA,2022-03-21 06:39:00,OH,GSO,41.0,East-West,N503AE,119.0,SAV,2022-03-21 08:35:00,OH,DCA,31.0,North-South,830.0,42.0,-2.0,830.0,41.0,42.0,31.0,2
30,N503AE,N503AE,74.0,DCA,2022-03-21 06:39:00,OH,GSO,41.0,East-West,N503AE,119.0,SAV,2022-03-21 08:35:00,OH,DCA,31.0,North-South,N503AE,102.0,DCA,2022-03-21 11:13:00,OH,SAV,15.0,North-South,42.0,39.0,41.0,42.0,31.0,39.0,15.0,1
31,N503AE,N503AE,89.0,HPN,2022-03-22 15:28:00,OH,DCA,-13.0,East-West,N503AE,73.0,DCA,2022-03-22 17:29:00,OH,HPN,-11.0,East-West,N503AE,74.0,CAK,2022-03-22 19:17:00,OH,DCA,21.0,East-West,32.0,35.0,-13.0,32.0,-11.0,35.0,21.0,2
32,N503AE,N503AE,73.0,DCA,2022-03-22 17:29:00,OH,HPN,-11.0,East-West,N503AE,74.0,CAK,2022-03-22 19:17:00,OH,DCA,21.0,East-West,N503AE,104.0,CLT,2022-03-23 08:50:00,OH,CAK,0.0,North-South,35.0,739.0,-11.0,35.0,21.0,739.0,0.0,0
33,N503AE,N503AE,92.0,TYS,2022-03-24 12:40:00,OH,DCA,13.0,East-West,N503AE,97.0,DCA,2022-03-24 14:44:00,OH,TYS,6.0,East-West,N503AE,58.0,ORF,2022-03-25 08:30:00,OH,DCA,9.0,North-South,32.0,969.0,13.0,32.0,6.0,969.0,9.0,1
34,N503AE,N503AE,97.0,DCA,2022-03-24 14:44:00,OH,TYS,6.0,East-West,N503AE,58.0,ORF,2022-03-25 08:30:00,OH,DCA,9.0,North-South,N503AE,83.0,SYR,2022-03-25 15:59:00,OH,DCA,24.0,North-South,969.0,391.0,6.0,969.0,9.0,391.0,24.0,2
35,N503AE,N503AE,132.0,DCA,2022-03-27 13:34:00,OH,ECP,-22.0,East-West,N503AE,104.0,DCA,2022-03-27 19:50:00,OH,SAV,-17.0,North-South,N503AE,67.0,EWN,2022-03-28 12:39:00,OH,CLT,-13.0,East-West,244.0,905.0,-22.0,244.0,-17.0,905.0,-13.0,0
36,N503AE,N503AE,104.0,DCA,2022-03-27 19:50:00,OH,SAV,-17.0,North-South,N503AE,67.0,EWN,2022-03-28 12:39:00,OH,CLT,-13.0,East-West,N503AE,82.0,CLT,2022-03-28 14:17:00,OH,EWN,-16.0,East-West,905.0,31.0,-17.0,905.0,-13.0,31.0,-16.0,0
37,N503AE,N503AE,67.0,EWN,2022-03-28 12:39:00,OH,CLT,-13.0,East-West,N503AE,82.0,CLT,2022-03-28 14:17:00,OH,EWN,-16.0,East-West,N503AE,75.0,CRW,2022-03-28 16:34:00,OH,CLT,-13.0,North-South,31.0,55.0,-13.0,31.0,-16.0,55.0,-13.0,0
38,N503AE,N503AE,82.0,CLT,2022-03-28 14:17:00,OH,EWN,-16.0,East-West,N503AE,75.0,CRW,2022-03-28 16:34:00,OH,CLT,-13.0,North-South,N503AE,75.0,CLT,2022-03-28 18:19:00,OH,CRW,-10.0,North-South,55.0,30.0,-16.0,55.0,-13.0,30.0,-10.0,0
39,N503AE,N503AE,75.0,CRW,2022-03-28 16:34:00,OH,CLT,-13.0,North-South,N503AE,75.0,CLT,2022-03-28 18:19:00,OH,CRW,-10.0,North-South,N503AE,118.0,SBN,2022-03-28 20:19:00,OH,CLT,-1.0,North-South,30.0,45.0,-13.0,30.0,-10.0,45.0,-1.0,0
40,N504AE,N504AE,91.0,DAY,2022-03-07 17:48:00,OH,DCA,87.0,East-West,N504AE,123.0,DCA,2022-03-08 17:31:00,OH,BGR,-3.0,East-West,N504AE,74.0,CAK,2022-03-09 19:17:00,OH,DCA,6.0,East-West,1332.0,1423.0,87.0,1332.0,-3.0,1423.0,6.0,1
41,N504AE,N504AE,123.0,DCA,2022-03-08 17:31:00,OH,BGR,-3.0,East-West,N504AE,74.0,CAK,2022-03-09 19:17:00,OH,DCA,6.0,East-West,N504AE,104.0,CLT,2022-03-10 08:50:00,OH,CAK,-4.0,North-South,1423.0,739.0,-3.0,1423.0,6.0,739.0,-4.0,0
42,N504AE,N504AE,143.0,AEX,2022-03-15 14:35:00,OH,CLT,-9.0,East-West,N504AE,74.0,DCA,2022-03-16 06:39:00,OH,GSO,-4.0,East-West,N504AE,119.0,SAV,2022-03-16 08:35:00,OH,DCA,26.0,North-South,821.0,42.0,-9.0,821.0,-4.0,42.0,26.0,2
43,N504AE,N504AE,74.0,DCA,2022-03-16 06:39:00,OH,GSO,-4.0,East-West,N504AE,119.0,SAV,2022-03-16 08:35:00,OH,DCA,26.0,North-South,N504AE,102.0,DCA,2022-03-16 11:13:00,OH,SAV,-1.0,North-South,42.0,39.0,-4.0,42.0,26.0,39.0,-1.0,0
44,N504AE,N504AE,119.0,SAV,2022-03-16 08:35:00,OH,DCA,26.0,North-South,N504AE,102.0,DCA,2022-03-16 11:13:00,OH,SAV,-1.0,North-South,N504AE,137.0,DCA,2022-03-17 05:33:00,OH,BGR,4.0,East-West,39.0,998.0,26.0,39.0,-1.0,998.0,4.0,1
45,N504AE,N504AE,102.0,DCA,2022-03-16 11:13:00,OH,SAV,-1.0,North-South,N504AE,137.0,DCA,2022-03-17 05:33:00,OH,BGR,4.0,East-West,N504AE,123.0,HSV,2022-03-17 21:08:00,OH,DCA,-9.0,East-West,998.0,798.0,-1.0,998.0,4.0,798.0,-9.0,0
46,N504AE,N504AE,137.0,DCA,2022-03-17 05:33:00,OH,BGR,4.0,East-West,N504AE,123.0,HSV,2022-03-17 21:08:00,OH,DCA,-9.0,East-West,N504AE,63.0,PHL,2022-03-18 17:54:00,OH,DCA,70.0,East-West,798.0,1123.0,4.0,798.0,-9.0,1123.0,70.0,3
47,N504AE,N504AE,124.0,DCA,2022-03-23 14:45:00,OH,STL,-25.0,East-West,N504AE,74.0,DCA,2022-03-24 06:39:00,OH,GSO,-12.0,East-West,N504AE,119.0,SAV,2022-03-24 08:35:00,OH,DCA,53.0,North-South,830.0,42.0,-25.0,830.0,-12.0,42.0,53.0,3
48,N504AE,N504AE,74.0,DCA,2022-03-24 06:39:00,OH,GSO,-12.0,East-West,N504AE,119.0,SAV,2022-03-24 08:35:00,OH,DCA,53.0,North-South,N504AE,102.0,DCA,2022-03-24 11:13:00,OH,SAV,22.0,North-South,42.0,39.0,-12.0,42.0,53.0,39.0,22.0,2
49,N504AE,N504AE,74.0,DCA,2022-03-29 06:39:00,OH,GSO,-11.0,East-West,N504AE,119.0,SAV,2022-03-29 08:35:00,OH,DCA,2.0,North-South,N504AE,102.0,DCA,2022-03-29 11:13:00,OH,SAV,25.0,North-South,42.0,39.0,-11.0,42.0,2.0,39.0,25.0,2
50,N504AE,N504AE,119.0,SAV,2022-03-29 08:35:00,OH,DCA,2.0,North-South,N504AE,102.0,DCA,2022-03-29 11:13:00,OH,SAV,25.0,North-South,N504AE,92.0,TYS,2022-03-30 12:40:00,OH,DCA,-1.0,East-West,39.0,1425.0,2.0,39.0,25.0,1425.0,-1.0,0
51,N504AE,N504AE,102.0,DCA,2022-03-29 11:13:00,OH,SAV,25.0,North-South,N504AE,92.0,TYS,2022-03-30 12:40:00,OH,DCA,-1.0,East-West,N504AE,97.0,DCA,2022-03-30 14:44:00,OH,TYS,-15.0,East-West,1425.0,32.0,25.0,1425.0,-1.0,32.0,-15.0,0
52,N504AE,N504AE,92.0,TYS,2022-03-30 12:40:00,OH,DCA,-1.0,East-West,N504AE,97.0,DCA,2022-03-30 14:44:00,OH,TYS,-15.0,East-West,N504AE,133.0,BHM,2022-03-31 13:57:00,OH,DCA,12.0,East-West,32.0,1296.0,-1.0,32.0,-15.0,1296.0,12.0,1
53,N505AE,N505AE,87.0,ILM,2022-03-01 16:11:00,OH,DCA,-15.0,North-South,N505AE,78.0,DCA,2022-03-01 18:57:00,OH,ILM,-8.0,North-South,N505AE,131.0,HSV,2022-03-01 21:16:00,OH,DCA,-20.0,East-West,79.0,61.0,-15.0,79.0,-8.0,61.0,-20.0,0
54,N505AE,N505AE,78.0,DCA,2022-03-01 18:57:00,OH,ILM,-8.0,North-South,N505AE,131.0,HSV,2022-03-01 21:16:00,OH,DCA,-20.0,East-West,N505AE,98.0,DCA,2022-03-02 17:52:00,OH,SAV,-3.0,North-South,61.0,1105.0,-8.0,61.0,-20.0,1105.0,-3.0,0
55,N505AE,N505AE,131.0,HSV,2022-03-01 21:16:00,OH,DCA,-20.0,East-West,N505AE,98.0,DCA,2022-03-02 17:52:00,OH,SAV,-3.0,North-South,N505AE,88.0,HPN,2022-03-02 20:16:00,OH,DCA,-35.0,East-West,1105.0,46.0,-20.0,1105.0,-3.0,46.0,-35.0,0
56,N505AE,N505AE,98.0,DCA,2022-03-02 17:52:00,OH,SAV,-3.0,North-South,N505AE,88.0,HPN,2022-03-02 20:16:00,OH,DCA,-35.0,East-West,N505AE,144.0,STL,2022-03-03 12:43:00,OH,DCA,122.0,East-West,46.0,899.0,-3.0,46.0,-35.0,899.0,122.0,4
57,N505AE,N505AE,124.0,DCA,2022-03-03 14:45:00,OH,STL,114.0,East-West,N505AE,74.0,DCA,2022-03-04 06:39:00,OH,GSO,-22.0,East-West,N505AE,119.0,SAV,2022-03-04 08:35:00,OH,DCA,9.0,North-South,830.0,42.0,114.0,830.0,-22.0,42.0,9.0,1
58,N505AE,N505AE,74.0,DCA,2022-03-04 06:39:00,OH,GSO,-22.0,East-West,N505AE,119.0,SAV,2022-03-04 08:35:00,OH,DCA,9.0,North-South,N505AE,102.0,DCA,2022-03-04 11:13:00,OH,SAV,-6.0,North-South,42.0,39.0,-22.0,42.0,9.0,39.0,-6.0,0
59,N505AE,N505AE,119.0,SAV,2022-03-04 08:35:00,OH,DCA,9.0,North-South,N505AE,102.0,DCA,2022-03-04 11:13:00,OH,SAV,-6.0,North-South,N505AE,114.0,CMH,2022-03-05 09:35:00,OH,PHL,-13.0,East-West,39.0,1240.0,9.0,39.0,-6.0,1240.0,-13.0,0
60,N505AE,N505AE,102.0,DCA,2022-03-04 11:13:00,OH,SAV,-6.0,North-South,N505AE,114.0,CMH,2022-03-05 09:35:00,OH,PHL,-13.0,East-West,N505AE,89.0,PHL,2022-03-05 11:59:00,OH,CMH,-27.0,East-West,1240.0,30.0,-6.0,1240.0,-13.0,30.0,-27.0,0
61,N505AE,N505AE,74.0,DCA,2022-03-09 09:33:00,OH,GSO,-23.0,East-West,N505AE,74.0,DCA,2022-03-10 09:33:00,OH,GSO,-31.0,East-West,N505AE,144.0,ECP,2022-03-10 11:33:00,OH,DCA,88.0,East-West,1366.0,46.0,-23.0,1366.0,-31.0,46.0,88.0,3
62,N505AE,N505AE,102.0,CLT,2022-03-16 06:48:00,OH,DAY,-12.0,North-South,N505AE,122.0,SBN,2022-03-16 18:15:00,OH,CLT,-32.0,North-South,N505AE,147.0,LFT,2022-03-17 13:10:00,OH,CLT,21.0,East-West,585.0,1013.0,-12.0,585.0,-32.0,1013.0,21.0,2
63,N505AE,N505AE,88.0,CSG,2022-03-18 20:29:00,OH,CLT,4.0,East-West,N505AE,53.0,GSP,2022-03-19 14:36:00,OH,CLT,-4.0,East-West,N505AE,120.0,GPT,2022-03-20 12:54:00,OH,CLT,-20.0,East-West,999.0,1285.0,4.0,999.0,-4.0,1285.0,-20.0,0
64,N505AE,N505AE,113.0,DCA,2022-03-22 10:05:00,OH,HSV,-9.0,East-West,N505AE,78.0,HPN,2022-03-22 13:39:00,OH,DCA,-1.0,East-West,N505AE,81.0,DCA,2022-03-22 15:29:00,OH,HPN,-14.0,East-West,101.0,32.0,-9.0,101.0,-1.0,32.0,-14.0,0
65,N505AE,N505AE,78.0,HPN,2022-03-22 13:39:00,OH,DCA,-1.0,East-West,N505AE,81.0,DCA,2022-03-22 15:29:00,OH,HPN,-14.0,East-West,N505AE,74.0,DCA,2022-03-23 09:33:00,OH,GSO,-18.0,East-West,32.0,1003.0,-1.0,32.0,-14.0,1003.0,-18.0,0
66,N505AE,N505AE,74.0,DCA,2022-03-28 09:21:00,OH,GSO,-19.0,East-West,N505AE,83.0,ILM,2022-03-28 16:27:00,OH,DCA,10.0,North-South,N505AE,80.0,DCA,2022-03-28 18:40:00,OH,ILM,-2.0,North-South,352.0,50.0,-19.0,352.0,10.0,50.0,-2.0,0
67,N506AE,N506AE,73.0,CRW,2022-03-01 16:21:00,OH,CLT,-6.0,North-South,N506AE,76.0,CLT,2022-03-01 18:09:00,OH,CRW,-5.0,North-South,N506AE,90.0,DAY,2022-03-02 15:12:00,OH,CLT,13.0,North-South,35.0,1187.0,-6.0,35.0,-5.0,1187.0,13.0,1
68,N506AE,N506AE,76.0,CLT,2022-03-01 18:09:00,OH,CRW,-5.0,North-South,N506AE,90.0,DAY,2022-03-02 15:12:00,OH,CLT,13.0,North-South,N506AE,99.0,CLT,2022-03-02 17:21:00,OH,DAY,-13.0,North-South,1187.0,39.0,-5.0,1187.0,13.0,39.0,-13.0,0
69,N506AE,N506AE,137.0,DCA,2022-03-05 05:43:00,OH,BGR,-18.0,East-West,N506AE,119.0,SAV,2022-03-05 08:35:00,OH,DCA,12.0,North-South,N506AE,102.0,DCA,2022-03-05 11:13:00,OH,SAV,-11.0,North-South,35.0,39.0,-18.0,35.0,12.0,39.0,-11.0,0
70,N506AE,N506AE,119.0,SAV,2022-03-05 08:35:00,OH,DCA,12.0,North-South,N506AE,102.0,DCA,2022-03-05 11:13:00,OH,SAV,-11.0,North-South,N506AE,94.0,HPN,2022-03-05 15:01:00,OH,DCA,181.0,East-West,39.0,126.0,12.0,39.0,-11.0,126.0,181.0,4
71,N506AE,N506AE,102.0,DCA,2022-03-05 11:13:00,OH,SAV,-11.0,North-South,N506AE,94.0,HPN,2022-03-05 15:01:00,OH,DCA,181.0,East-West,N506AE,92.0,TYS,2022-03-06 12:40:00,OH,DCA,39.0,East-West,126.0,1205.0,-11.0,126.0,181.0,1205.0,39.0,2
72,N506AE,N506AE,94.0,HPN,2022-03-05 15:01:00,OH,DCA,181.0,East-West,N506AE,92.0,TYS,2022-03-06 12:40:00,OH,DCA,39.0,East-West,N506AE,97.0,DCA,2022-03-06 14:44:00,OH,TYS,45.0,East-West,1205.0,32.0,181.0,1205.0,39.0,32.0,45.0,2
73,N506AE,N506AE,92.0,TYS,2022-03-06 12:40:00,OH,DCA,39.0,East-West,N506AE,97.0,DCA,2022-03-06 14:44:00,OH,TYS,45.0,East-West,N506AE,92.0,CAE,2022-03-06 17:22:00,OH,DCA,11.0,North-South,32.0,61.0,39.0,32.0,45.0,61.0,11.0,1
74,N506AE,N506AE,97.0,DCA,2022-03-06 14:44:00,OH,TYS,45.0,East-West,N506AE,92.0,CAE,2022-03-06 17:22:00,OH,DCA,11.0,North-South,N506AE,91.0,DCA,2022-03-06 19:29:00,OH,CAE,21.0,North-South,61.0,35.0,45.0,61.0,11.0,35.0,21.0,2
75,N506AE,N506AE,92.0,CAE,2022-03-06 17:22:00,OH,DCA,11.0,North-South,N506AE,91.0,DCA,2022-03-06 19:29:00,OH,CAE,21.0,North-South,N506AE,190.0,CLT,2022-03-07 06:30:00,OH,BGR,-28.0,East-West,35.0,570.0,11.0,35.0,21.0,570.0,-28.0,0
76,N506AE,N506AE,91.0,DCA,2022-03-06 19:29:00,OH,CAE,21.0,North-South,N506AE,190.0,CLT,2022-03-07 06:30:00,OH,BGR,-28.0,East-West,N506AE,67.0,EWN,2022-03-07 12:39:00,OH,CLT,-10.0,East-West,570.0,179.0,21.0,570.0,-28.0,179.0,-10.0,0
77,N506AE,N506AE,190.0,CLT,2022-03-07 06:30:00,OH,BGR,-28.0,East-West,N506AE,67.0,EWN,2022-03-07 12:39:00,OH,CLT,-10.0,East-West,N506AE,82.0,CLT,2022-03-07 14:17:00,OH,EWN,-11.0,East-West,179.0,31.0,-28.0,179.0,-10.0,31.0,-11.0,0
78,N506AE,N506AE,119.0,EWR,2022-03-12 14:47:00,OH,CLT,-27.0,East-West,N506AE,123.0,CLT,2022-03-12 17:24:00,OH,EWR,2.0,East-West,N506AE,123.0,ITH,2022-03-12 20:51:00,OH,CLT,-22.0,North-South,38.0,84.0,-27.0,38.0,2.0,84.0,-22.0,0
79,N506AE,N506AE,123.0,CLT,2022-03-12 17:24:00,OH,EWR,2.0,East-West,N506AE,123.0,ITH,2022-03-12 20:51:00,OH,CLT,-22.0,North-South,N506AE,67.0,ILM,2022-03-13 14:35:00,OH,CLT,-13.0,East-West,84.0,941.0,2.0,84.0,-22.0,941.0,-13.0,0
